Id,Age,Gender,Skin Color,Occupation
1,48,f,2,x
2,24,f,3,x
3,54,f,2,x
4,49,f,3,x
5,48,m,3,x
6,18,m,3,x
7,36,m,1,x
8,69,f,2,x
9,69,m,2,x
10,26,m,x,x
11,26,m,3,2
12,45,m,3,x
13,24,m,2,x
14,24,f,3,x
15,72,m,1,x
16,25,f,2,x
17,65,f,x,x
18,50,m,x,x
19,64,f,1,x
21,40,m,4,1
22,58,f,1,1
23,39,m,2,1
24,68,m,2,2
25,72,f,2,9
26,68,f,2,8
27,49,f,5,3
28,27,m,3,2
29,25,m,3,0
30,72,f,2,1
31,73,f,2,2
32,53,f,2,2
33,59,m,2,4
34,60,f,2,3
35,57,f,2,3
36,48,m,3,7
37,57,f,2,9
38,27,m,2,2
41,29,f,2,x
42,28,f,4,x
43,35,m,2,1
44,26,f,2,1
46,34,f,2,9
47,30,f,1,2
48,68,m,3,2
49,65,f,3,2
50,27,m,3,7
51,28,f,2,7
53,26,f,2,2
54,57,f,2,2
55,56,m,2,8
56,57,m,2,2
57,54,f,3,4
58,52,f,3,9
59,47,f,3,3
60,47,m,3,2
61,27,f,2,3
62,29,m,3,3
63,42,f,2,3
64,84,m,3,8
65,47,f,3,9
66,36,f,3,4
67,35,m,3,2
68,25,f,5,2
69,25,f,3,2
70,25,f,2,3
71,56,f,2,3
72,57,f,2,3
73,63,m,2,3
74,56,f,2,2
75,57,f,2,3
76,57,f,2,3
77,44,f,2,4
78,52,f,2,9
79,63,m,2,3
80,65,f,2,4
81,36,m,2,2
82,29,f,2,2
83,29,m,2,2
84,23,m,2,2
85,24,f,4,4
86,39,f,4,1
87,31,f,2,2
88,36,m,6,4
89,31,f,2,3
90,28,m,3,2
91,52,m,2,2
92,30,m,2,8
93,35,m,2,2
94,28,m,2,8
101,28,m,5,2
102,36,m,3,2
103,27,m,2,2
104,31,m,4,2
105,37,m,3,2
106,43,m,3,2
107,53,m,3,3
108,27,f,2,2
109,24,m,3,2
110,32,f,3,1
111,25,f,3,2
112,25,f,2,2
113,33,m,2,2
114,40,m,2,2
115,25,m,2,2
116,29,f,2,1
117,23,f,2,1
118,27,m,2,1
119,30,m,5,2
120,27,m,4,2
121,31,m,4,2
122,45,f,3,1
123,60,f,3,3
124,26,f,4,2
125,49,m,3,3
126,28,m,3,2
127,63,m,2,3
128,33,m,3,2
129,21,f,2,2
130,29,m,4,2
131,58,m,3,2
132,39,m,2,2
133,31,m,5,2
134,27,m,2,2
135,20,m,3,4
136,55,f,3,1
137,50,m,2,2
138,35,m,2,2
139,54,m,3,2
140,32,m,5,2
141,23,f,5,9
142,25,f,2,9
143,26,m,3,2
144,26,f,2,1
145,36,f,3,2
146,63,m,2,1
147,50,m,2,2
148,29,f,4,2
149,28,f,3,2
150,33,f,3,2
152,67,f,2,4
153,67,m,3,7
201,42,m,3,2
202,22,m,3,2
203,37,m,3,2
204,23,f,4,2
205,22,f,3,2
206,21,f,1,2
207,23,f,3,2
208,21,f,3,2
209,54,f,2,2
210,27,m,3,2
211,23,f,2,2
212,29,m,2,2
213,62,m,3,2
214,31,m,2,2
215,57,m,2,5
216,26,f,3,1
217,34,m,5,2
218,49,f,3,2
219,47,m,3,2
220,38,m,3,2
221,25,m,2,2
222,22,m,2,2
223,23,f,1,2
224,26,m,3,2
225,41,m,2,2
226,50,m,3,2
227,47,m,2,2
228,28,m,4,2
229,22,m,2,2
230,42,f,2,2
231,27,m,3,2
232,20,f,1,2
233,31,f,2,2
234,56,m,3,2
235,20,m,3,2
236,27,f,2,2
238,30,m,3,2
239,39,m,2,2
240,50,m,3,2
241,49,m,3,2
242,29,m,3,2
243,37,m,3,2
244,24,m,3,2
245,21,m,3,2
246,23,m,3,2
247,20,f,2,2
248,42,m,3,2
249,34,m,4,2
250,58,m,3,2
251,31,f,2,2
252,22,f,2,2
253,46,m,5,2
254,33,f,2,2
256,21,m,2,2
257,48,m,3,2
258,31,m,3,2
259,20,f,1,2
301,45,m,6,2
302,39,m,1,2
303,41,m,1,2
305,44,f,5,2
308,40,m,1,2
309,42,m,6,2
310,40,m,5,2
311,21,f,2,2
312,30,m,1,2
313,30,m,6,2
314,42,m,6,2
315,26,m,1,2
316,47,m,1,2
317,43,m,6,2
318,37,m,6,2
319,36,m,6,2
320,31,m,6,2
321,24,m,1,2
322,30,m,6,2
401,54,m,6,2
403,25,f,6,2
405,45,m,6,2
406,25,f,4,2
407,54,m,6,2
408,33,m,6,2
409,35,f,5,2
410,21,m,6,2
411,36,f,6,2
412,36,m,6,2
413,32,f,6,2
414,43,m,6,2
415,44,m,6,2
416,65,m,6,2
417,39,m,6,2
418,49,m,6,2
419,45,m,6,2
420,19,m,6,2
421,37,m,6,2
422,34,m,6,2
423,36,m,6,2
424,22,m,6,2
425,28,f,6,2
426,30,m,6,2
427,28,m,6,2
428,39,m,6,2
429,27,m,6,2
430,48,m,6,2
431,26,m,6,2
432,44,m,6,2
433,54,f,6,2
434,60,m,6,2
435,44,m,6,2
436,42,m,6,2
437,55,m,6,2
438,60,m,6,2
439,20,f,6,2
440,45,f,6,2
441,47,m,6,2
442,35,m,6,2
443,50,m,6,2
444,37,m,6,2
445,30,m,6,2
446,19,m,6,2
447,34,m,6,2
448,55,m,6,2
449,39,f,6,2
450,24,m,6,2
451,37,m,6,2
452,28,m,6,2
453,43,m,6,2
454,25,m,6,2
458,41,m,5,2
461,28,m,6,2
462,56,m,6,2
463,24,m,6,2
464,23,m,6,2
465,36,m,6,2
466,26,f,6,2
467,28,m,6,2
468,57,m,6,2
469,44,m,6,2
470,41,f,6,2
472,29,m,6,2
473,50,f,6,2
474,18,m,6,2
475,32,m,6,2
476,32,m,6,2
477,37,f,6,2
478,29,m,6,2
479,27,m,6,2
480,28,m,6,2
481,30,m,6,2
482,32,m,6,2
484,53,f,6,2
486,40,m,6,2
487,27,f,6,2
488,24,f,6,2
489,31,f,6,2
490,33,m,6,2
491,28,m,6,2
492,60,m,6,2
493,22,m,6,2
494,23,f,6,2
495,28,m,6,2
496,28,m,6,2
497,60,m,6,2
498,40,m,6,2
